290,313,289
463,445,464
338,339,362
362,361,338
407,385,386
342,341,317
340,364,363
313,336,312
358,380,357
315,339,338
292,267,268
237,213,214
335,312,336
264,265,289
289,312,288
269,293,268
222,198,199
270,294,269
217,241,240
270,245,271
149,171,148
219,195,196
265,290,289
146,168,145
262,263,287
169,170,193
242,241,218
237,214,238
191,192,215
212,236,235
256,255,231
261,286,285
234,233,210
165,166,189
191,214,190
123,145,144
167,191,190
166,167,190
168,169,192
64,63,46
27,26,13
78,60,79
78,97,77
31,47,46
80,99,79
3,4,14
78,79,98
30,29,16
28,14,15
19,32,18
46,45,30
104,105,125
84,83,65
82,102,101
150,172,149
66,84,65
126,106,127
170,194,193
19,20,33
198,222,221
70,69,52
89,88,70
127,149,148
55,37,38
37,22,38
24,9,10
113,114,135
72,53,54
92,72,73
71,53,72
55,54,36
73,72,54
273,296,272
131,110,132
133,155,132
110,90,111
134,112,113
111,91,112
92,91,72
111,90,91
93,92,73
112,91,92
93,74,94
55,38,56
114,93,94
134,135,157
135,114,136
137,116,138
94,115,114
94,75,95
74,75,94
23,38,22
116,95,96
115,94,95
26,41,25
57,56,39
74,56,75
74,55,56
57,39,40
56,38,39
38,23,39
22,9,23
25,24,11
40,39,24
1,2,12
15,4,0
27,42,26
76,96,95
26,42,41
62,44,45
15,0,5
14,27,13
28,43,27
15,5,16
29,15,16
14,4,15
5,6,16
17,30,16
45,63,62
27,43,42
28,29,44
45,44,29
80,100,99
43,60,42
43,44,61
80,61,62
60,43,61
81,80,62
61,44,62
82,83,102
143,165,142
98,79,99
60,61,79
61,80,79
62,63,81
119,98,99
118,97,98
96,76,77
41,42,59
97,78,98
59,60,78
59,58,41
77,97,96
58,76,57
58,77,76
59,77,58
59,78,77
183,159,160
115,116,137
181,182,205
158,157,135
160,159,137
182,181,158
185,209,208
183,182,159
207,183,184
206,205,182
161,138,139
160,137,138
119,118,98
140,139,118
118,119,140
99,100,120
121,142,120
142,141,120
119,141,140
119,120,141
138,117,139
138,116,117
162,161,139
