66, 67, 254
67, 255, 82
255, 83, 82
255, 68, 83
67, 68, 255
68, 256, 83
256, 84, 83
256, 69, 84
68, 69, 256
70, 257, 85
257, 86, 85
257, 71, 86
70, 71, 257
71, 258, 86
258, 87, 86
258, 72, 87
71, 72, 258
72, 259, 87
259, 88, 87
259, 73, 88
72, 73, 259
73, 260, 88
260, 89, 88
260, 74, 89
73, 74, 260
74, 261, 89
261, 90, 89
261, 75, 90
74, 75, 261
75, 262, 90
262, 91, 90
262, 76, 91
75, 76, 262
76, 263, 91
263, 92, 91
263, 77, 92
76, 77, 263
77, 264, 92
264, 93, 92
264, 78, 93
77, 78, 264
78, 265, 93
265, 94, 93
265, 79, 94
78, 79, 265
79, 266, 94
266, 95, 94
266, 80, 95
79, 80, 266
80, 267, 95
267, 96, 95
267, 81, 96
80, 81, 267
81, 268, 96
268, 97, 96
268, 82, 97
81, 82, 268
82, 269, 97
269, 98, 97
269, 83, 98
82, 83, 269
83, 270, 98
270, 99, 98
270, 84, 99
83, 84, 270
85, 271, 100
271, 101, 100
271, 86, 101
85, 86, 271
86, 272, 101
272, 102, 101
272, 87, 102
86, 87, 272
87, 273, 102
273, 103, 102
273, 88, 103
87, 88, 273
88, 274, 103
274, 104, 103
274, 89, 104
88, 89, 274
89, 275, 104
275, 105, 104
275, 90, 105
89, 90, 275
90, 276, 105
276, 106, 105
276, 91, 106
90, 91, 276
91, 277, 106
277, 107, 106
277, 92, 107
91, 92, 277
92, 278, 107
278, 108, 107
278, 93, 108
92, 93, 278
93, 279, 108
279, 109, 108
279, 94, 109
93, 94, 279
94, 280, 109
280, 110, 109
280, 95, 110
94, 95, 280
95, 281, 110
281, 111, 110
281, 96, 111
95, 96, 281
96, 282, 111
282, 112, 111
282, 97, 112
96, 97, 282
97, 283, 112
283, 113, 112
283, 98, 113
97, 98, 283
98, 284, 113
284, 114, 113
284, 99, 114
98, 99, 284
100, 285, 115
285, 116, 115
285, 101, 116
100, 101, 285
101, 286, 116
286, 117, 116
286, 102, 117
101, 102, 286
102, 287, 117
287, 118, 117
287, 103, 118
102, 103, 287
103, 288, 118
288, 119, 118
288, 104, 119
103, 104, 288
104, 289, 119
289, 120, 119
289, 105, 120
104, 105, 289
105, 290, 120
290, 121, 120
290, 106, 121
105, 106, 290
106, 291, 121
291, 122, 121
291, 107, 122
106, 107, 291
107, 292, 122
292, 123, 122
292, 108, 123
107, 108, 292
108, 293, 123
293, 124, 123
293, 109, 124
108, 109, 293
109, 294, 124
294, 125, 124
294, 110, 125
109, 110, 294
110, 295, 125
295, 126, 125
295, 111, 126
110, 111, 295
111, 296, 126
296, 127, 126
296, 112, 127
111, 112, 296
112, 297, 127
297, 128, 127
297, 113, 128
112, 113, 297
113, 298, 128
298, 129, 128
298, 114, 129
113, 114, 298
115, 299, 130
299, 131, 130
299, 116, 131
115, 116, 299
116, 300, 131
300, 132, 131
300, 117, 132
116, 117, 300
117, 301, 132
301, 133, 132
